"cover_class" "minCov" "maxCov"
"1" 5e-04 0 0.00275
"2" 0.005 0.00275 0.0075
"3" 0.01 0.0075 0.015
"4" 0.02 0.015 0.025
"5" 0.03 0.025 0.04
"6" 0.05 0.04 0.075
"7" 0.1 0.075 0.125
"8" 0.15 0.125 0.175
"9" 0.2 0.175 0.25
"10" 0.3 0.25 0.35
"11" 0.4 0.35 0.45
"12" 0.5 0.45 0.55
"13" 0.6 0.55 0.65
"14" 0.7 0.65 0.75
"15" 0.8 0.75 0.85
"16" 0.9 0.85 0.95
"17" 1 0.95 1
